Manufacturer,Model,Vehicle_type,Latest_Launch,Units_Price,Units_Sold ,Cost_incurred,Revenue,Cost,Profit
Acura,Integra,Passenger,02-02-2012,21.5,16.919,16.36,363.7585,276.79484,86.96366
Acura,TL,Passenger,06-03-2011,28.4,39.384,19.875,1118.5056,782.757,335.7486
Acura,CL,Passenger,01-04-2012,35.44,14.114,18.225,500.20016,257.22765,242.97251
Acura,RL,Passenger,03-10-2011,42,8.588,29.725,360.696,255.2783,105.4177
Audi,A4,Passenger,10-08-2011,23.99,20.397,22.255,489.32403,453.935235,35.388795
Audi,A6,Passenger,08-09-2011,33.95,18.78,23.555,637.581,442.3629,195.2181
Audi,A8,Passenger,2/27/2012,62,1.38,39,85.56,53.82,31.74
BMW,323i,Passenger,6/28/2011,26.99,19.747,11,532.97153,217.217,315.75453
BMW,328i,Passenger,1/29/2012,33.4,9.231,28.675,308.3154,264.698925,43.616475
BMW,528i,Passenger,04-04-2011,38.9,17.527,36.125,681.8003,633.162875,48.637425
Buick,Century,Passenger,11-02-2011,21.975,91.561,12.475,2012.052975,1142.223475,869.8295
Buick,Regal,Passenger,09-03-2011,25.3,39.35,13.74,995.555,540.669,454.886
Buick,Park Avenue,Passenger,3/23/2012,31.965,27.851,20.19,890.257215,562.31169,327.945525
Buick,LeSabre,Passenger,7/23/2011,27.885,83.257,13.36,2321.621445,1112.31352,1209.307925
Cadillac,DeVille,Passenger,2/23/2012,39.895,63.729,22.525,2542.468455,1435.495725,1106.97273
Cadillac,Seville,Passenger,4/29/2011,44.475,15.943,27.1,709.064925,432.0553,277.009625
Cadillac,Eldorado,Passenger,11/27/2011,39.665,6.536,25.725,259.25044,168.1386,91.11184
Cadillac,Catera,Passenger,9/28/2011,31.01,11.185,18.225,346.84685,203.846625,143.000225
Cadillac,Escalade,Car,4/17/2012,46.225,14.785,23,683.436625,340.055,343.381625
Chevrolet,Cavalier,Passenger,8/17/2011,13.26,145.519,9.25,1929.58194,1346.05075,583.53119
Chevrolet,Malibu,Passenger,3/19/2012,16.535,135.126,11.225,2234.30841,1516.78935,717.51906
Chevrolet,Lumina,Passenger,5/24/2011,18.89,24.629,10.31,465.24181,253.92499,211.31682
Chevrolet,Monte Carlo,Passenger,12/22/2011,19.39,42.593,11.525,825.87827,490.884325,334.993945
Chevrolet,Camaro,Passenger,10/23/2011,24.34,26.402,13.025,642.62468,343.88605,298.73863
Chevrolet,Corvette,Passenger,05-12-2012,45.705,17.947,36.225,820.267635,650.130075,170.13756
Chevrolet,Prizm,Passenger,09-11-2011,13.96,32.299,9.125,450.89404,294.728375,156.165665
Chevrolet,Metro,Passenger,4/13/2012,9.235,21.855,5.16,201.830925,112.7718,89.059125
Chevrolet,Impala,Passenger,6/18/2011,18.89,107.995,5.23,2040.02555,564.81385,1475.2117
Chrysler,Sebring Coupe,Passenger,1/16/2012,19.84,7.854,12.36,155.82336,97.07544,58.74792
Chrysler,Sebring Conv.,Passenger,11/17/2011,24.495,32.775,14.18,802.823625,464.7495,338.074125
Chrysler,Concorde,Passenger,06-06-2012,22.245,31.148,13.725,692.88726,427.5063,265.38096
Chrysler,Cirrus,Passenger,10-06-2011,16.48,32.306,12.64,532.40288,408.34784,124.05504
Chrysler,LHS,Passenger,05-08-2012,28.34,13.462,17.325,381.51308,233.22915,148.28393
Chrysler,Town & Country,Car,7/13/2011,32.46,53.48,19.54,1735.9608,1044.9992,690.9616
